Date,Trading Day,Open,High,Low,Close,Volume,Adj Close
7/21/1998,201,81.37,84.81,81.19,81.62,79948000,19.05
7/22/1998,202,80.62,83,80.62,82.37,65818400,19.22
7/23/1998,203,81.69,84.94,81.44,82.56,85404000,19.27
7/24/1998,204,82.75,84,81.62,83.06,58984800,19.39
7/27/1998,207,82.25,86.12,81.75,86.06,84463600,20.09
7/28/1998,208,86.81,88.25,85.5,85.62,118007600,19.98
7/29/1998,209,86.37,86.81,84.44,84.62,57039600,19.75
7/30/1998,210,85.69,87.75,85,87.62,58014400,20.45
7/31/1998,211,87.31,87.87,84.25,84.44,48032800,19.71
8/3/1998,214,83.62,86.12,83.12,84.81,55863600,19.79
8/4/1998,215,85.37,86,81.62,81.94,77434000,19.12
8/5/1998,216,82.06,84.58,81.12,84.12,91450400,19.64
8/6/1998,217,83,87.56,83,87,94552800,20.31
8/7/1998,218,87.87,88.94,86.37,86.69,81810000,20.24
8/10/1998,221,86.25,87.75,85.69,86.62,49170800,20.22
8/11/1998,222,84.25,85.37,83.81,84.56,72920000,19.74
8/12/1998,223,85.5,86,84.37,85.62,55206000,19.99
8/13/1998,224,85.87,87,84.5,85.25,65314000,19.9
8/14/1998,225,85.94,86.75,85.56,86.19,62301600,20.12
8/17/1998,228,85.75,89.75,85.75,89.56,95816400,20.91
8/18/1998,229,89.44,92.62,89.37,91.44,119604800,21.35
8/19/1998,230,91.94,92.25,89.25,89.56,67748800,20.91
8/20/1998,231,87,88.25,85.37,86,134286800,20.08
8/21/1998,232,84.56,85.69,82.37,84.94,116136000,19.83
8/24/1998,235,85.19,86.48,83.47,84.62,84328800,19.76
8/25/1998,236,85.5,85.87,83.69,84.42,52442400,19.71
8/26/1998,237,82.69,84.5,82.19,83,52515200,19.38
8/27/1998,238,81.37,82.06,76.75,79.75,133454800,18.62
8/28/1998,239,78.37,80.56,75.75,77,94445200,17.98
8/31/1998,242,76.87,77.44,70.94,71.19,104269200,16.62
9/1/1998,243,70.94,76.75,69.75,76,109021200,17.74
9/2/1998,244,76.31,77.94,74.06,74.87,84881200,17.48
9/3/1998,245,75.06,78.75,74.56,76.75,107758800,17.92
9/4/1998,246,77.69,78.87,76.12,78.25,64649200,18.27
9/8/1998,250,81.19,82,79.37,81.91,83092800,19.12
9/9/1998,251,82.81,84.62,81.12,81.25,94456000,18.97
9/10/1998,252,79.75,80.62,77.44,79.06,76448800,18.46
9/11/1998,253,83.25,85.06,82,84.94,150086000,19.83
9/14/1998,256,84.75,86.56,84.56,85.81,67960000,20.04
9/15/1998,257,85,86.12,84.56,85.94,47313200,20.07
9/16/1998,258,86.06,86.81,83.69,85.06,45172000,19.86
9/17/1998,259,82.87,84.25,82.37,83,56430800,19.38
9/18/1998,260,83.19,83.5,82,83,50604800,19.38
9/21/1998,263,81.25,84.62,80.62,84.62,39437600,19.76
9/22/1998,264,85.06,85.25,83.37,83.56,40890800,19.51
9/23/1998,265,84.12,87.06,83.87,87.06,67808400,20.33
9/24/1998,266,86.75,88.12,84.37,85.31,62723200,19.92
9/25/1998,267,84.62,88.75,84,88.31,69451200,20.62
9/28/1998,270,88.44,89,86.19,87,60137200,20.31
9/29/1998,271,87.37,88.62,86.75,88.5,52740000,20.66
9/30/1998,272,87.31,88,85.62,85.75,45350000,20.02
10/1/1998,273,84.25,85.44,82.06,83.44,61390000,19.48
10/2/1998,274,82.81,85,81.25,83.87,59275600,19.58
10/5/1998,277,82.56,83.69,77.81,80.56,78511200,18.81
10/6/1998,278,82.56,83.25,78.56,79.62,82609600,18.59
10/7/1998,279,78.87,81.12,78.5,79.06,82892800,18.46
10/8/1998,280,76.81,80.37,75.81,78.44,120596800,18.31
10/9/1998,281,79.69,84.25,79.37,83.81,87274400,19.57
10/12/1998,284,84.87,85.87,84.25,85.44,62548400,19.95
10/13/1998,285,84.5,85.44,81.94,83.56,100670000,19.51
10/14/1998,286,82.75,84.25,82.12,82.56,110875600,19.28
10/15/1998,287,82.31,85.25,81.5,84.56,73935600,19.74
10/16/1998,288,85.19,85.5,83.56,83.75,76712800,19.55
10/19/1998,291,83.12,85.12,82.62,85,59394800,19.85
10/20/1998,292,85.75,87.25,84.5,84.56,83388000,19.74
10/21/1998,293,85.19,87.12,84.62,87.06,57402000,20.33
10/22/1998,294,86.19,87.87,85.56,87.37,48283600,20.4
10/23/1998,295,86.56,88.94,86.37,87.25,56905200,20.37
10/26/1998,298,87.06,89.06,86.5,88.94,49700400,20.77
10/27/1998,299,89.44,89.75,87.25,87.31,52743200,20.39
10/28/1998,300,86.81,89.5,86.75,89.22,48941600,20.83
10/29/1998,301,88.62,90.62,88.56,89.75,73024000,20.95
10/30/1998,302,90,90.81,89.12,89.19,47807600,20.82
11/2/1998,305,89.75,92,89.56,91.81,52581200,21.44
11/3/1998,306,91.19,91.81,89.69,90.44,51115600,21.12
11/4/1998,307,91.62,95,91.06,94.81,109783600,22.15
11/5/1998,308,94,94.5,93.25,94,58649600,21.96
11/6/1998,309,93.81,95.87,93.56,95.44,65113200,22.29
11/9/1998,312,94.87,96.06,93.44,96,47542000,22.42
11/10/1998,313,96.37,99.5,95.69,97.56,85904400,22.79
11/11/1998,314,101.75,104.37,101.62,103.69,126148400,24.22
11/12/1998,315,102.62,105.06,101.37,102.69,72308800,23.99
11/13/1998,316,101.37,104.87,101.37,103.75,59891600,24.23
11/16/1998,319,105.19,107,105.06,106.87,49532000,24.96
11/17/1998,320,106.25,110,105.62,108.5,58458400,25.34
11/18/1998,321,108.37,110.87,108.25,109.87,51899200,25.66
11/19/1998,322,110.81,115.19,110.75,112.87,94157600,26.36
11/20/1998,323,113.87,114.12,111.06,112.06,67536400,26.18
11/23/1998,326,111.87,115.87,110.56,113.56,57492000,26.53
11/24/1998,327,112.5,114.25,110.37,110.44,46309600,25.8
11/25/1998,328,111,112.12,107.75,109.75,58885200,25.64
11/27/1998,330,109.31,110.25,109,110,17278400,25.69
11/30/1998,333,110.69,112.23,107.5,107.62,63109600,25.14
12/1/1998,334,105.81,115,105.69,115,76924400,26.86
12/2/1998,335,113.94,115,111.37,113.56,64597200,26.53
12/3/1998,336,113.56,117.12,108.87,109.5,78229200,25.58
12/4/1998,337,113.25,116.31,113.12,116.31,70552400,27.17
12/7/1998,340,116.62,119.5,116.37,118.94,51056000,27.78
12/8/1998,341,120.25,124,119.19,120.06,99456000,28.04
12/9/1998,342,121.25,121.5,118.31,119.19,50258800,27.84
12/10/1998,343,118.56,120.12,114.25,114.62,61700800,26.77
12/11/1998,344,114.5,117.25,113.5,116.44,54904800,27.2
12/14/1998,347,114.5,115.5,111.19,111.56,61902800,26.06
12/15/1998,348,112.87,116.23,112,115.94,70154000,27.08
12/16/1998,349,116.5,117,113.37,114.12,44630800,26.66
12/17/1998,350,114.87,117.44,114.75,116.87,39876800,27.3
12/18/1998,351,119.81,120.56,118.87,120,63221600,28.03
12/21/1998,354,120.5,124,119.94,122.69,38856400,28.66
12/22/1998,355,122.37,122.75,118.25,119.06,46193200,27.81
12/23/1998,356,125,125,121.37,125,79884400,29.2
12/24/1998,357,124.81,126.19,123.56,125,17430800,29.2
12/28/1998,361,125.69,125.69,122,122.12,27864400,28.53
12/29/1998,362,122.12,124,120.37,121.06,40452000,28.28
12/30/1998,363,120.5,122.94,119.06,119.19,41480400,27.84
12/31/1998,364,119.75,120.62,118.25,118.56,29049600,27.69
